section,section_label,k,beta,threshold_treatment,treatment_label,theta_mean,seed_fraction,variant,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.92,0.001,homogeneous,0.08333333333333333,0.484,0.2812,0.62015,27.5,18.55,42.29999999999999,69.0,61.199999999999996,91.4,,,,47.0,42.2,62.8,0.015000000000000013,0.012099999999999996,0.021900000000000017,12,0.014864709450773478,0.35388592179859524
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.92,0.002,homogeneous,0.4166666666666667,0.55,0.37120000000000003,0.7949499999999998,18.5,10.55,35.94999999999999,54.5,37.400000000000006,85.25,97.0,97.0,97.0,37.0,27.05,66.94999999999999,0.019500000000000017,0.01175000000000001,0.028950000000000004,12,0.19325746190524654,0.6804926643446272
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.92,0.003,homogeneous,0.25,0.543,0.4638,0.6795,16.5,11.65,29.0,61.0,49.15,82.75,,,,44.5,37.75,59.0,0.01800000000000001,0.014550000000000013,0.02345000000000002,12,0.08894003962896138,0.53231033912066
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.92,0.005,homogeneous,0.75,0.663,0.6032500000000001,0.9091,12.0,9.55,13.899999999999999,45.0,33.55,60.9,65.5,62.35,68.65,33.0,23.55,47.9,0.025500000000000023,0.018649999999999986,0.039499999999999966,12,0.46768966087934005,0.9110599603710386
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.92,0.01,homogeneous,0.9166666666666666,0.741,0.6647500000000001,0.9142000000000001,7.5,5.550000000000001,9.45,32.5,24.3,43.9,89.0,55.7,92.6,23.5,17.75,35.349999999999994,0.029000000000000012,0.020199999999999996,0.03669999999999997,12,0.6461140782014047,0.9851352905492264
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.93,0.001,homogeneous,0.08333333333333333,0.398,0.21365,0.55585,31.0,17.0,66.0,98.0,58.400000000000006,99.8,,,,75.0,40.800000000000004,82.2,0.013000000000000012,0.0076500000000000075,0.021450000000000018,12,0.014864709450773478,0.35388592179859524
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.93,0.002,homogeneous,0.08333333333333333,0.507,0.2761,0.6529999999999999,19.5,15.1,53.449999999999974,65.5,52.25,70.75,,,,47.5,35.5,55.75,0.016999999999999973,0.00965000000000001,0.021999999999999964,12,0.014864709450773478,0.35388592179859524
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.93,0.003,homogeneous,0.25,0.5734999999999999,0.49535,0.6393,14.5,11.0,18.45,58.0,42.0,63.5,,,,43.0,28.0,48.5,0.01850000000000001,0.01599999999999996,0.02580000000000001,12,0.08894003962896138,0.53231033912066
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.93,0.005,homogeneous,0.75,0.6,0.54945,0.7424999999999999,11.0,10.0,13.45,43.0,36.65,63.5,,,,31.0,26.1,51.39999999999999,0.02349999999999998,0.017550000000000017,0.02445000000000001,12,0.46768966087934005,0.9110599603710386
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.93,0.01,homogeneous,1.0,0.7035,0.58795,0.84985,8.0,6.0,9.899999999999999,32.0,27.0,42.45,58.0,58.0,58.0,24.5,20.1,34.9,0.02749999999999997,0.021549999999999993,0.03849999999999998,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.94,0.001,homogeneous,0.0,0.4065,0.19655,0.61985,31.5,18.0,61.49999999999999,73.0,71.2,88.3,,,,55.0,50.5,64.89999999999999,0.013500000000000012,0.007550000000000007,0.01590000000000001,12,0.0,0.2425007574992425
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.94,0.002,homogeneous,0.25,0.5215000000000001,0.41635,0.6287,18.5,12.1,26.9,60.0,49.5,92.1,,,,41.0,37.6,69.19999999999999,0.017500000000000016,0.014,0.02580000000000001,12,0.08894003962896138,0.53231033912066
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.94,0.003,homogeneous,0.3333333333333333,0.545,0.43705,0.6925999999999999,15.0,11.100000000000001,22.45,58.0,39.7,77.29999999999998,,,,45.0,28.5,57.699999999999996,0.018000000000000002,0.014999999999999989,0.023800000000000005,12,0.13811783989736134,0.609382412602386
