section,section_label,k,beta,rule,variant,variant_label,success_denominator,min_successful_digital,count_k,threshold_treatment,treatment_label,theta_mean,pi,seed_strategy,seed_fraction,pioneer_strategy,replacement_digital_rule,realised_mean_degree,avg_path_length,clustering,giant_component_fraction,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
L_ignition,L ignition,20,0.7,complex,success_original,fractional success,better,0,1,mixture,mixture pi=5%,0.96,0.05,clustered,0.05,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.9105000000000001,0.7181000000000001,0.92305,1.0,1.0,2.0,12.0,11.0,14.0,24.0,22.0,38.39999999999998,11.0,10.0,12.0,0.05399999999999999,0.045950000000000005,0.061099999999999995,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,20,0.7,complex,success_original,fractional success,better,0,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.001,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.9095,0.565,0.92405,7.0,6.0,12.099999999999994,25.0,18.0,39.19999999999999,41.0,30.25,78.49999999999999,17.5,12.0,27.14999999999999,0.03700000000000002,0.028949999999999986,0.04599999999999993,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,20,0.7,complex,success_original,fractional success,better,0,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.005,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.9105000000000001,0.8925500000000001,0.922,5.0,4.0,6.0,18.0,15.0,25.0,35.0,27.0,72.39999999999999,13.0,10.950000000000001,20.049999999999997,0.04000000000000002,0.034949999999999974,0.047000000000000014,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,20,0.7,complex,success_original,fractional success,better,0,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.01,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.912,0.6897,0.92605,3.0,3.0,4.0,16.0,13.95,20.0,30.0,25.0,56.79999999999998,12.5,10.0,16.0,0.04499999999999999,0.03690000000000003,0.04999999999999999,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,20,0.7,complex,success_original,fractional success,better,0,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.02,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.9105000000000001,0.7323500000000001,0.92705,2.0,2.0,3.0,13.0,12.0,17.049999999999997,26.0,24.0,49.499999999999986,11.0,10.0,15.049999999999997,0.047000000000000014,0.04294999999999998,0.054000000000000006,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,20,0.7,complex,success_original,fractional success,better,0,1,mixture,mixture pi=5%,0.96,0.05,hub_bridge,0.05,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.911,0.9,0.9251,1.0,1.0,1.0,11.0,9.95,12.0,22.0,21.0,28.0,10.0,8.95,11.0,0.06899999999999999,0.05895,0.077,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,20,0.7,complex,success_original,fractional success,better,0,1,mixture,mixture pi=5%,0.96,0.05,random,0.001,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,0.9833333333333333,0.9075,0.5967999999999999,0.9212,8.0,6.0,13.0,26.0,19.9,42.0,52.0,33.0,87.0,18.0,12.0,29.0,0.03550000000000003,0.028000000000000025,0.045000000000000005,60,0.9114466177322051,0.9970519161391262
L_ignition,L ignition,20,0.7,complex,success_original,fractional success,better,0,1,mixture,mixture pi=5%,0.96,0.05,random,0.005,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.9085000000000001,0.62075,0.926,5.0,4.0,7.0,20.5,17.0,27.099999999999994,40.0,29.450000000000003,65.74999999999999,15.0,12.0,21.099999999999994,0.039000000000000014,0.03200000000000003,0.04600000000000001,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,20,0.7,complex,success_original,fractional success,better,0,1,mixture,mixture pi=5%,0.96,0.05,random,0.01,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.908,0.6779000000000001,0.924,4.0,3.0,5.0,17.0,15.0,23.049999999999997,32.0,26.0,48.55,13.5,11.0,18.14999999999999,0.041999999999999926,0.03495000000000003,0.04710000000000004,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,20,0.7,complex,success_original,fractional success,better,0,1,mixture,mixture pi=5%,0.96,0.05,random,0.02,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.9125000000000001,0.8931500000000001,0.92705,3.0,2.0,3.0,15.0,12.95,19.049999999999997,29.0,24.0,40.39999999999999,12.0,10.0,16.049999999999997,0.045000000000000005,0.03895000000000003,0.05204999999999999,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,20,0.7,complex,success_original,fractional success,better,0,1,mixture,mixture pi=5%,0.96,0.05,random,0.05,random,traditional_only,20.0,2.6498898898898897,0.0347266484363756,1.0,1.0,0.911,0.7426499999999999,0.92405,1.0,1.0,2.0,11.5,11.0,14.049999999999997,24.0,22.0,30.299999999999997,10.0,9.0,13.049999999999997,0.057499999999999996,0.050899999999999994,0.065,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,clustered,0.001,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.0,0.001,0.0,0.001,,,,,,,,,,,,,0.0,0.0,0.0,60,0.0,0.06017393047793289
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,clustered,0.005,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.55,0.862,0.006,0.90705,22.0,10.7,43.499999999999986,55.5,38.35,92.29999999999998,83.0,76.0,95.75,35.0,26.0,58.64999999999999,0.020000000000000018,0.001,0.02404999999999999,60,0.42491714548981496,0.6690654614623918
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,clustered,0.01,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.9,0.903,0.8966000000000001,0.90905,9.0,7.0,15.199999999999989,36.5,32.85,52.89999999999995,76.0,66.8,89.0,28.0,24.0,41.74999999999996,0.02200000000000002,0.020000000000000018,0.026050000000000007,60,0.7985030550748896,0.9533578005427642
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,clustered,0.02,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.9666666666666667,0.903,0.9,0.91,5.0,4.0,6.0,31.0,28.9,43.099999999999994,69.0,64.9,84.0,26.0,24.0,37.19999999999999,0.024999999999999994,0.02100000000000002,0.029050000000000003,60,0.8863601247107462,0.9908108735098498
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,clustered,0.05,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,1.0,0.904,0.9,0.9091,2.0,2.0,2.0,27.0,25.0,30.0,64.0,60.0,73.0,25.0,23.0,28.0,0.03899999999999999,0.031,0.046049999999999994,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,hub_bridge,0.001,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.0,0.001,0.0,0.001,,,,,,,,,,,,,0.0,0.0,0.0,60,0.0,0.06017393047793289
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,hub_bridge,0.005,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.6833333333333333,0.903,0.74175,0.90805,14.0,10.0,23.049999999999997,47.5,36.85,72.14999999999999,85.0,74.80000000000001,98.19999999999999,31.5,25.0,54.0,0.02100000000000002,0.018900000000000004,0.02400000000000002,60,0.5576599505698345,0.7869429415882567
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,hub_bridge,0.01,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.8833333333333333,0.903,0.9,0.908,7.5,5.95,9.049999999999997,35.0,31.0,47.449999999999974,73.0,67.0,83.0,28.0,24.0,40.39999999999998,0.02200000000000002,0.019000000000000017,0.026000000000000002,60,0.7782097940014187,0.9423235259654995
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,hub_bridge,0.02,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,1.0,0.9035,0.9,0.90905,4.0,4.0,5.0,30.0,27.0,34.05,67.0,60.95,74.05,25.0,23.0,30.049999999999997,0.027,0.023,0.031999999999999994,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,hub_bridge,0.05,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,1.0,0.904,0.9,0.91105,2.0,1.0,2.0,26.0,24.0,27.049999999999997,62.0,56.0,68.05,24.0,22.0,26.049999999999997,0.049,0.040999999999999995,0.05704999999999999,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,random,0.001,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.0,0.001,0.0,0.001,,,,,,,,,,,,,0.0,0.0,0.0,60,0.0,0.06017393047793289
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,random,0.005,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.5333333333333333,0.9,0.005,0.90905,17.5,11.55,44.0,50.0,39.15,87.85,85.0,72.5,95.0,32.0,26.0,59.54999999999998,0.020000000000000018,0.0009500000000000002,0.024050000000000012,60,0.40893208671135106,0.65372298459012
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,random,0.01,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.8833333333333333,0.903,0.8461,0.909,9.0,6.0,12.0,38.0,32.0,56.89999999999995,75.0,68.75,90.25,29.0,25.0,46.0,0.022000000000000006,0.01999999999999999,0.026049999999999993,60,0.7782097940014187,0.9423235259654995
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,random,0.02,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.95,0.904,0.9,0.9111,5.0,4.0,6.0,31.0,28.0,49.14999999999999,69.0,63.0,78.39999999999992,26.0,24.0,44.14999999999999,0.025,0.021949999999999997,0.030049999999999997,60,0.8629926537490016,0.9828508088208587
L_ignition,L ignition,50,0.7,complex,success_min2,fractional success + >=2,better,2,1,mixture,mixture pi=5%,1.0,0.05,random,0.05,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,1.0,0.902,0.9,0.91005,2.0,1.0,2.0,26.0,25.0,29.0,63.5,57.949999999999996,69.0,24.0,23.0,27.0,0.042499999999999996,0.03594999999999999,0.050050000000000004,60,0.9398260695220669,0.9999999999999999
L_ignition,L ignition,50,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,1.0,0.05,clustered,0.001,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.0,0.001,0.0,0.001,,,,,,,,,,,,,0.0,0.0,0.0,60,0.0,0.06017393047793289
L_ignition,L ignition,50,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,1.0,0.05,clustered,0.005,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.0,0.005,0.003,0.008049999999999996,,,,,,,,,,,,,0.0,0.0,0.002,60,0.0,0.06017393047793289
L_ignition,L ignition,50,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,1.0,0.05,clustered,0.01,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.0,0.012,0.00895,0.2371999999999998,46.5,28.4,70.0,88.0,88.0,88.0,,,,51.0,51.0,51.0,0.0010000000000000009,0.0,0.009050000000000004,60,0.0,0.06017393047793289
L_ignition,L ignition,50,0.7,complex,success_min3,fractional success + >=3,better,3,1,mixture,mixture pi=5%,1.0,0.05,clustered,0.02,random,traditional_only,50.0,2.0382382382382382,0.0646271160937189,1.0,0.43333333333333335,0.8745,0.23754999999999998,0.91005,14.0,8.9,28.399999999999977,53.0,37.0,91.49999999999997,85.0,71.4,96.6,40.0,26.299999999999997,79.1,0.020000000000000018,0.00995000000000001,0.024050000000000016,60,0.3157220039440064,0.5589678534530513
