section,k,beta,threshold_treatment,treatment_label,theta_mean,seed_fraction,variant,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
calibration,20,0.7,mixture,mixture_pi05,0.75,0.003,mixture_pi05,1.0,0.947,0.908,0.9911500000000001,6.0,5.0,7.100000000000001,12.5,11.95,15.0,15.0,14.0,17.0,7.0,5.949999999999999,8.0,0.17449999999999993,0.16289999999999993,0.18420000000000006,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.75,0.006,mixture_pi05,1.0,0.9775,0.9154,0.9952,5.0,4.0,6.0,11.0,10.0,13.0,14.0,12.95,15.05,6.0,6.0,7.050000000000001,0.175,0.16674999999999993,0.18799999999999994,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.75,0.01,mixture_pi05,1.0,0.9495,0.90395,0.99305,4.0,4.0,5.050000000000001,10.0,9.0,12.0,13.0,12.0,14.0,6.0,5.0,7.0,0.17500000000000004,0.16794999999999993,0.18415000000000006,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.8,0.001,mixture_pi05,0.95,0.9524999999999999,0.8654499999999999,0.99,8.0,6.0,12.400000000000006,19.0,14.899999999999999,24.400000000000006,22.0,17.900000000000002,28.400000000000006,10.0,8.9,12.200000000000003,0.1345,0.12254999999999999,0.14620000000000002,20,0.7638641064874331,0.9911187805671268
calibration,20,0.7,mixture,mixture_pi05,0.8,0.003,mixture_pi05,1.0,0.9515,0.90965,0.98615,6.0,5.0,7.050000000000001,15.0,13.95,17.0,18.5,17.9,21.0,9.0,8.0,10.05,0.136,0.1277,0.14450000000000005,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.8,0.006,mixture_pi05,1.0,0.974,0.92395,0.9901500000000001,5.0,4.0,6.0,14.0,12.95,16.0,17.5,16.0,19.0,9.0,8.0,10.05,0.1355,0.1279,0.14830000000000004,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.8,0.01,mixture_pi05,1.0,0.9735,0.91165,0.991,4.0,3.0,5.0,12.0,10.95,14.0,16.0,14.950000000000001,17.0,8.0,7.0,9.05,0.1355,0.1267,0.14500000000000002,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.85,0.001,mixture_pi05,0.95,0.9355,0.8644999999999999,0.96645,9.0,6.8999999999999995,11.100000000000001,22.0,19.0,30.60000000000001,28.0,24.0,36.70000000000001,14.0,11.9,19.60000000000001,0.08950000000000002,0.07505000000000006,0.09719999999999998,20,0.7638641064874331,0.9911187805671268
calibration,20,0.7,mixture,mixture_pi05,0.85,0.003,mixture_pi05,1.0,0.9395,0.9038,0.96815,6.0,5.949999999999999,7.050000000000001,19.0,17.95,23.1,25.0,22.9,28.150000000000002,12.0,11.95,17.05,0.08950000000000002,0.08169999999999997,0.09599999999999997,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.85,0.006,mixture_pi05,1.0,0.9385,0.90195,0.9691,5.0,4.0,7.0,16.5,14.9,19.05,22.0,19.900000000000002,25.1,11.0,8.95,13.0,0.09199999999999997,0.07854999999999997,0.10304999999999997,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.85,0.01,mixture_pi05,1.0,0.9575,0.92905,0.972,4.0,3.0,4.050000000000001,15.0,12.95,17.05,20.0,17.95,22.1,11.0,9.0,13.0,0.09449999999999997,0.08374999999999996,0.10399999999999998,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.9,0.001,mixture_pi05,1.0,0.912,0.5558000000000001,0.9380499999999999,8.5,6.0,14.250000000000004,28.0,21.95,52.60000000000001,49.0,32.6,67.8,19.0,14.0,43.099999999999994,0.041000000000000036,0.027650000000000025,0.04919999999999994,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.9,0.003,mixture_pi05,1.0,0.9155,0.89775,0.9382999999999999,6.0,5.0,9.05,23.5,16.95,31.05,41.0,28.7,70.30000000000001,17.5,11.95,23.1,0.040500000000000036,0.03600000000000003,0.04945000000000005,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.9,0.006,mixture_pi05,1.0,0.919,0.88405,0.934,5.0,4.0,6.0,19.0,16.95,23.05,34.0,27.9,55.400000000000006,13.5,12.0,18.05,0.04400000000000004,0.036849999999999924,0.04899999999999994,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.9,0.01,mixture_pi05,1.0,0.913,0.889,0.93005,4.0,3.95,5.0,18.0,14.9,24.0,34.0,25.0,57.60000000000001,14.0,10.0,19.05,0.043999999999999956,0.03495,0.04844999999999994,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.95,0.001,mixture_pi05,0.95,0.905,0.51205,0.92105,9.0,8.0,13.100000000000001,31.0,23.0,43.400000000000006,52.0,38.599999999999994,83.0,22.0,14.899999999999999,31.80000000000001,0.035,0.02089999999999999,0.040149999999999936,20,0.7638641064874331,0.9911187805671268
calibration,20,0.7,mixture,mixture_pi05,0.95,0.003,mixture_pi05,1.0,0.905,0.68885,0.9251,6.0,5.0,8.05,22.0,17.0,31.300000000000004,48.0,32.2,66.2,15.0,11.95,25.200000000000003,0.03900000000000001,0.03294999999999997,0.043150000000000036,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.95,0.006,mixture_pi05,1.0,0.911,0.892,0.922,5.0,4.0,6.100000000000001,19.5,16.0,23.150000000000002,42.0,27.9,65.70000000000002,15.0,10.95,18.1,0.039000000000000014,0.03400000000000003,0.04825000000000004,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.95,0.01,mixture_pi05,1.0,0.9125000000000001,0.6846500000000001,0.92205,4.0,3.0,5.0,16.5,14.950000000000001,23.1,35.5,26.85,41.34999999999999,13.0,10.95,19.1,0.04100000000000001,0.03684999999999999,0.05010000000000005,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.9525,0.001,mixture_pi05,0.95,0.903,0.5710999999999999,0.92005,9.0,7.0,10.500000000000007,28.0,22.9,40.80000000000001,44.0,39.2,59.0,19.5,13.95,28.000000000000014,0.03499999999999995,0.027000000000000024,0.042049999999999976,20,0.7638641064874331,0.9911187805671268
calibration,20,0.7,mixture,mixture_pi05,0.9525,0.003,mixture_pi05,1.0,0.9155,0.89085,0.92705,6.0,5.0,8.0,20.0,17.95,27.05,37.0,33.0,59.800000000000026,14.0,12.0,20.05,0.04050000000000002,0.031949999999999985,0.046999999999999986,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.9525,0.006,mixture_pi05,1.0,0.913,0.65985,0.9235,5.0,4.0,6.050000000000001,19.0,15.95,25.300000000000004,35.0,26.8,60.39999999999999,14.5,11.0,20.250000000000004,0.041,0.03194999999999999,0.04899999999999994,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.9525,0.01,mixture_pi05,1.0,0.9055,0.9,0.9183500000000001,4.0,3.95,5.0,16.0,15.0,21.0,34.5,26.9,55.60000000000002,12.5,11.0,17.0,0.042,0.035949999999999975,0.049050000000000045,20,0.8388698745050668,0.9999999999999999
calibration,50,0.7,homogeneous,homogeneous,0.6,0.001,homogeneous,1.0,0.994,0.93245,1.0,13.0,9.950000000000001,17.0,16.0,12.95,20.05,17.0,14.0,21.05,3.0,3.0,4.0,0.33099999999999996,0.3058,0.356,20,0.8388698745050668,0.9999999999999999
calibration,50,0.7,homogeneous,homogeneous,0.6,0.003,homogeneous,1.0,1.0,0.9653,1.0,8.0,6.0,10.100000000000001,11.0,10.0,14.05,12.5,11.0,15.05,3.0,3.0,4.0,0.32799999999999996,0.29190000000000005,0.3516,20,0.8388698745050668,0.9999999999999999
calibration,50,0.7,homogeneous,homogeneous,0.6,0.006,homogeneous,1.0,0.997,0.9304,1.0,6.0,5.0,7.0,9.0,8.0,10.0,10.5,9.950000000000001,11.0,3.0,3.0,4.0,0.33399999999999996,0.28695,0.3563,20,0.8388698745050668,0.9999999999999999
calibration,50,0.7,homogeneous,homogeneous,0.6,0.01,homogeneous,1.0,0.9995,0.9629,1.0,5.0,4.0,5.050000000000001,8.0,7.0,9.0,9.0,9.0,10.0,3.0,3.0,4.0,0.316,0.28579999999999994,0.34904999999999997,20,0.8388698745050668,0.9999999999999999
calibration,50,0.7,homogeneous,homogeneous,0.65,0.001,homogeneous,1.0,0.9995,0.9088,1.0,10.5,7.95,16.250000000000004,14.5,11.95,19.300000000000004,16.0,12.95,21.250000000000004,4.0,3.0,4.0,0.2925,0.25795,0.3141500000000001,20,0.8388698745050668,0.9999999999999999
calibration,50,0.7,homogeneous,homogeneous,0.65,0.003,homogeneous,1.0,0.9955,0.90095,1.0,8.0,6.0,10.05,12.0,9.950000000000001,14.05,13.5,11.0,15.05,4.0,3.0,4.0,0.28950000000000004,0.26185,0.3102499999999999,20,0.8388698745050668,0.9999999999999999
calibration,50,0.7,homogeneous,homogeneous,0.65,0.006,homogeneous,1.0,0.9955,0.9198500000000001,1.0,6.0,5.0,7.100000000000001,10.0,9.0,11.100000000000001,11.0,11.0,13.05,4.0,3.0,4.0,0.29499999999999993,0.27265000000000006,0.3084,20,0.8388698745050668,0.9999999999999999
calibration,50,0.7,homogeneous,homogeneous,0.65,0.01,homogeneous,1.0,0.988,0.91495,1.0,5.0,4.0,6.0,9.0,8.0,10.0,10.0,9.950000000000001,11.05,4.0,3.0,4.0,0.29250000000000004,0.2619,0.31615,20,0.8388698745050668,0.9999999999999999
calibration,50,0.7,homogeneous,homogeneous,0.7,0.001,homogeneous,1.0,0.9935,0.9411999999999999,1.0,16.0,10.95,29.950000000000014,21.0,15.95,34.95000000000002,23.0,16.95,36.95000000000002,5.0,4.0,5.0,0.248,0.23384999999999997,0.26535,20,0.8388698745050668,0.9999999999999999
calibration,50,0.7,homogeneous,homogeneous,0.7,0.003,homogeneous,1.0,0.9964999999999999,0.9204,1.0,10.0,8.0,17.150000000000002,14.5,13.0,22.150000000000002,16.5,15.0,23.150000000000002,5.0,4.0,5.0,0.257,0.2359,0.2673,20,0.8388698745050668,0.9999999999999999
calibration,50,0.7,homogeneous,homogeneous,0.7,0.006,homogeneous,1.0,0.986,0.94395,1.0,7.0,6.0,9.200000000000003,12.0,10.95,14.200000000000003,13.5,12.0,15.250000000000004,5.0,4.0,5.0,0.2555,0.23459999999999998,0.26545,20,0.8388698745050668,0.9999999999999999
