slope_min,comparison,n_runs,final_cutoff,cascade_prob_ci_low,source_experiment,transition_window,cascade_prob,cascade_prob_ci_high
0.015,F robustness_axis=premium_sigma premium_ratio=3.0 digital_growth_sd=1.0,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=0.25,250,0.5,0.4110089576615158,robustness,30,0.472,0.5338385377844631
0.015,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=0.75,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=premium_sigma premium_ratio=5.0 digital_growth_sd=1.0,50,0.5,0.0,robustness,30,0.0,0.07135003417431873
0.015,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=0.25,250,0.5,0.40709862287317655,robustness,30,0.468,0.5298699433507994
0.015,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=0.75,250,0.5,0.4149231875977522,robustness,30,0.476,0.5378032370702297
0.015,F robustness_axis=premium_sigma premium_ratio=10.0 digital_growth_sd=1.0,250,0.5,0.08536266215857913,robustness,30,0.12,0.16613906175113463
0.015,F robustness_axis=theta_mean digital_growth_sd=1.0 theta_sweep=0.6499999999999999,250,0.5,0.1694915254237288,robustness,30,0.216,0.27110449981405726
0.015,F robustness_axis=theta_mean digital_growth_sd=1.0 theta_sweep=0.7,250,0.5,0.10931920870538417,robustness,30,0.148,0.1973350197583507
0.015,F robustness_axis=theta_mean digital_growth_sd=1.0 theta_sweep=0.75,50,0.5,0.0035391680889764604,robustness,30,0.02,0.10495686471836953
0.015,F robustness_axis=seed_fraction digital_growth_sd=1.0 seed_fraction_sweep=0.003,50,0.5,0.0035391680889764604,robustness,30,0.02,0.10495686471836953
0.015,F robustness_axis=seed_fraction digital_growth_sd=1.0 seed_fraction_sweep=0.006,250,0.5,0.12675788778063776,robustness,30,0.168,0.21929098679311218
0.015,F robustness_axis=seed_fraction digital_growth_sd=1.0 seed_fraction_sweep=0.012,50,0.5,0.6258705062480763,robustness,30,0.76,0.8570274759812779
0.015,F robustness_axis=update_schedule digital_growth_sd=1.0 update_schedule=synchronous,250,0.5,0.08874794216937745,robustness,30,0.124,0.1706327109623393
0.015,F robustness_axis=update_schedule digital_growth_sd=1.0 update_schedule=asynchronous,250,0.5,0.31825876924195456,robustness,30,0.376,0.4374944248759521
0.015,F robustness_axis=return_distribution digital_growth_sd=1.0 return_distribution_sweep=normal,250,0.5,0.07529144734526685,robustness,30,0.108,0.1525734888984379
0.015,F robustness_axis=return_distribution digital_growth_sd=1.0 return_distribution_sweep=truncated_normal,250,0.5,0.3144454410853008,robustness,30,0.372,0.43342882381060277
0.015,F robustness_axis=return_distribution digital_growth_sd=1.0 return_distribution_sweep=lognormal,250,0.5,0.29544366352974316,robustness,30,0.352,0.41303595525614534
0.015,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=own,250,0.5,0.10241566325298423,robustness,30,0.14,0.1884807067667446
0.015,F robustness_axis=performance_benchmark digital_growth_sd=1.0 performance_benchmark_sweep=mean,50,0.5,0.9286499658256813,robustness,30,1.0,1.0
